0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0,0,0,0,0,-1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,-1,1,0,-1,0,0,0,0
1,0,0,-1,1,-1,0,1,0,0,-1,0,0,0,0,1,0,-1,-1,1,0,1,1,0,1,-1,-1,0,0,0,1
2,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,-1,0,0,0,1,0,1,-1,0,-1,0,0,1
3,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,-1,0,1,-1,0,1,0,0,1,0,1,-1,1,1,1
4,0,1,0,1,0,0,0,0,-1,0,1,0,1,1,1,-1,0,0,-1,0,0,0,0,1,-1,1,-1,1,0,1
5,0,1,1,0,0,0,0,1,0,0,1,0,-1,0,0,0,0,0,1,0,0,0,-1,0,-1,0,0,1,1,1
6,1,0,-1,1,0,0,0,-1,0,1,0,0,1,1,0,1,0,0,-1,0,0,-1,0,1,-1,1,0,0,0,1
7,0,0,-1,1,0,0,0,1,0,1,1,0,1,1,-1,0,-1,0,0,0,1,-1,0,1,-1,0,1,0,1,1
8,-1,0,-1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,-1,0,0,0,1,-1,-1,0,1,1,1
9,1,-1,-1,0,0,1,0,0,-1,0,0,0,0,1,0,1,0,1,0,0,0,1,-1,0,0,1,1,-1,0,0
10,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,1,0,0,1,-1,-1,0,0,0,1
11,-1,0,-1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,-1,0,-1,0,0,1
12,-1,1,0,1,0,-1,0,1,1,-1,0,0,0,1,0,0,0,0,1,-1,0,1,1,1,0,1,1,0,1,1
13,0,1,-1,0,0,1,1,1,0,-1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,-1,-1,-1,0,1,1
14,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,-1,0,-1,-1,0,0,0,1,0,0,0,-1,0,1,1
15,0,1,0,-1,-1,1,0,1,0,1,0,0,1,0,-1,0,-1,0,1,0,0,1,0,1,0,1,1,0,0,0
16,1,-1,-1,0,0,0,-1,1,0,0,0,1,1,0,1,0,0,1,1,1,-1,-1,0,0,-1,1,1,1,0,1
17,0,-1,-1,0,1,1,1,0,1,0,1,1,-1,1,0,1,1,0,1,0,-1,-1,1,1,-1,1,0,0,0,1
18,0,0,-1,-1,-1,-1,0,1,1,-1,0,0,1,0,-1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
19,0,0,-1,0,0,0,0,1,0,0,-1,-1,0,0,0,0,0,0,1,0,1,1,1,0,-1,-1,1,0,1,1
20,1,1,-1,0,0,0,1,0,1,0,1,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,-1,-1,0,0,1
21,1,1,-1,0,1,0,0,0,1,0,0,1,0,0,0,0,-1,-1,1,-1,1,0,0,1,-1,0,1,0,0,0
22,1,0,0,0,0,0,-1,1,0,0,0,1,1,1,-1,0,0,0,0,1,0,1,0,1,-1,0,0,0,0,1
23,-1,1,-1,0,1,-1,0,1,0,-1,0,0,1,1,1,0,1,0,0,0,1,0,1,0,-1,0,0,1,1,1
24,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
25,-1,-1,-1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,-1,-1,-1,0,1,1,0,1,1,1,1
26,1,1,0,-1,-1,1,0,1,1,0,-1,0,0,1,-1,1,1,0,1,0,0,0,0,1,-1,0,0,-1,1,1
27,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-1,1,-1,-1,0,0,1,0
28,0,0,-1,1,1,0,0,1,0,-1,0,0,1,1,1,0,1,-1,0,1,1,1,1,1,-1,0,1,-1,0,1
29,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,-1,0,0,0,1,-1,1,0,0,1,0